cruise;day;st;Longitude;Latitude;presion;depth;temp;sal;fluo;turb;par;oxig;PARsurf
ENVIII;7;21;8.9145;42;-15;14.882;12.6276;35.6461;2.9894;0.7624;7.37E+00;6.4165;4.55E+02
ENVIII;7;21;8.9145;42;-16;15.874;12.7702;35.6426;1.9334;0.8158;6.32E+00;6.1862;4.54E+02
ENVIII;7;21;8.9145;42;-17;16.866;12.6546;35.6452;2.2792;0.7203;5.59E+00;6.20173;4.55E+02
ENVIII;7;21;8.9145;42;-18;17.858;12.5456;35.6445;1.6213;0.7456;4.92E+00;6.09233;4.55E+02
ENVIII;7;21;8.9145;42;-19;18.85;12.5022;35.6516;1.0787;0.7985;4.27E+00;5.89658;4.55E+02
ENVIII;7;21;8.9145;42;-20;19.842;12.501;35.6509;1.4043;0.7831;3.75E+00;5.71675;4.55E+02
ENVIII;7;21;8.9145;42;-21;20.834;12.4995;35.6513;1.5985;0.8643;3.32E+00;5.71301;4.55E+02
ENVIII;7;21;8.9145;42;-22;21.826;12.4957;35.6521;1.6486;0.7907;2.93E+00;5.7202;4.55E+02
ENVIII;7;21;8.9145;42;-23;22.818;12.4912;35.6522;1.9409;0.7888;2.59E+00;5.70627;4.56E+02
ENVIII;7;21;8.9145;42;-24;23.81;12.4829;35.6523;2.0279;0.7197;2.28E+00;5.71118;4.56E+02
ENVIII;7;21;8.9145;42;-25;24.802;12.4672;35.6528;2.1411;0.7554;1.99E+00;5.7445;4.56E+02
ENVIII;7;21;8.9145;42;-26;25.794;12.4625;35.653;1.6805;0.9284;1.76E+00;5.69292;4.57E+02
ENVIII;7;21;8.9145;42;-27;26.786;12.4573;35.653;1.8933;0.7243;1.55E+00;5.66972;4.57E+02
ENVIII;7;21;8.9145;42;-28;27.778;12.4422;35.6531;1.3649;0.8373;1.38E+00;5.65406;4.59E+02
ENVIII;7;21;8.9145;42;-29;28.77;12.4312;35.653;0.9778;0.9319;1.21E+00;5.60295;4.59E+02
ENVIII;7;21;8.9145;42;-30;29.762;12.4243;35.6528;0.8205;0.896;1.05E+00;5.59688;4.60E+02
ENVIII;7;21;8.9145;42;-31;30.754;12.4208;35.6528;0.8571;0.8954;9.20E-01;5.61871;4.60E+02
ENVIII;7;21;8.9145;42;-32;31.746;12.4179;35.6529;0.855;0.9117;8.14E-01;5.63605;4.61E+02
ENVIII;7;21;8.9145;42;-33;32.738;12.4164;35.6529;0.9258;0.8816;7.20E-01;5.62853;4.63E+02
ENVIII;7;21;8.9145;42;-34;33.73;12.4703;35.651;1.1506;0.7282;6.01E-01;5.68777;4.66E+02
ENVIII;7;31;9.0395;42;-5;4.961;14.0834;35.6125;9.5881;0.8234;1.43E+02;9.12738;4.81E+02
ENVIII;7;31;9.0395;42;-6;5.953;14.0473;35.611;10.3067;0.8694;1.02E+02;8.98667;4.83E+02
ENVIII;7;31;9.0395;42;-7;6.945;13.9879;35.6073;11.2157;0.8459;7.09E+01;8.8242;4.84E+02
ENVIII;7;31;9.0395;42;-8;7.937;13.8842;35.6077;10.8332;0.8282;5.07E+01;8.57521;4.87E+02
ENVIII;7;31;9.0395;42;-9;8.929;13.8133;35.6115;11.3597;0.8376;3.66E+01;8.34092;4.85E+02
ENVIII;7;31;9.0395;42;-10;9.921;13.5554;35.6048;10.6651;0.8561;2.63E+01;8.45727;5.01E+02
ENVIII;7;31;9.0395;42;-11;10.913;13.3952;35.625;10.317;0.7996;1.87E+01;8.38558;5.27E+02
ENVIII;7;31;9.0395;42;-12;11.905;13.3704;35.6239;9.6658;0.7478;1.36E+01;8.21974;4.98E+02
ENVIII;7;31;9.0395;42;-13;12.897;13.3592;35.6233;9.2254;0.7342;1.04E+01;8.10085;7.50E+02
ENVIII;7;31;9.0395;42;-14;13.89;13.349;35.6229;9.1697;0.7567;7.47E+00;8.08328;9.00E+02
ENVIII;7;31;9.0395;42;-15;14.882;13.3401;35.6229;9.8895;0.7666;5.67E+00;8.09493;9.00E+02
ENVIII;7;31;9.0395;42;-16;15.874;13.3257;35.6227;8.7696;0.7189;4.41E+00;8.06007;9.02E+02
ENVIII;7;31;9.0395;42;-17;16.866;13.3135;35.6235;9.1389;0.7505;3.35E+00;8.03879;9.02E+02
ENVIII;7;31;9.0395;42;-18;17.858;13.2791;35.6239;9.1484;0.7396;2.62E+00;8.00113;9.02E+02
ENVIII;7;31;9.0395;42;-19;18.85;13.231;35.626;8.0195;0.688;2.06E+00;7.93656;9.03E+02
ENVIII;7;31;9.0395;42;-20;19.842;13.1569;35.6307;7.6322;0.7651;1.60E+00;7.82911;9.03E+02
ENVIII;7;31;9.0395;42;-21;20.834;13.1284;35.636;6.9211;0.7371;1.29E+00;7.66421;9.02E+02
ENVIII;7;31;9.0395;42;-22;21.826;13.0967;35.6364;6.0927;0.696;1.07E+00;7.41298;8.90E+02
ENVIII;7;31;9.0395;42;-23;22.818;13.0778;35.6372;5.5597;0.7064;8.96E-01;7.355;6.24E+02
ENVIII;7;31;9.0395;42;-24;23.81;13.0591;35.6366;6.0349;0.6378;7.45E-01;7.32693;4.88E+02
ENVIII;7;31;9.0395;42;-25;24.802;13.0506;35.6362;5.0805;0.7158;6.22E-01;7.30131;4.86E+02
ENVIII;7;31;9.0395;42;-26;25.794;13.0323;35.6346;5.6119;0.6607;5.15E-01;7.27172;4.86E+02
ENVIII;7;31;9.0395;42;-27;26.786;13.0073;35.6338;4.9765;0.6391;4.22E-01;7.27708;4.87E+02
ENVIII;7;31;9.0395;42;-28;27.778;12.9274;35.626;4.9651;0.616;3.59E-01;7.25445;4.87E+02
ENVIII;7;31;9.0395;42;-29;28.77;12.7936;35.6204;4.262;0.5787;3.10E-01;7.25552;4.86E+02
ENVIII;7;31;9.0395;42;-30;29.762;12.7809;35.6215;3.5702;0.4823;2.53E-01;7.24308;4.84E+02
ENVIII;7;31;9.0395;42;-31;30.754;12.7565;35.6205;3.8532;0.4949;2.13E-01;7.2369;4.84E+02
ENVIII;7;31;9.0395;42;-32;31.746;12.7368;35.6206;3.5628;0.5117;1.82E-01;7.22613;4.84E+02
ENVIII;7;31;9.0395;42;-33;32.738;12.7135;35.6196;3.2135;0.4671;1.54E-01;7.1901;4.84E+02
ENVIII;7;31;9.0395;42;-34;33.73;12.6797;35.6192;2.7641;0.4109;1.32E-01;7.16549;4.85E+02
ENVIII;7;31;9.0395;42;-35;34.722;12.6001;35.619;2.3106;0.3957;1.05E-01;7.15868;4.85E+02
